mz	intensity	snr	snr_flag	present	fraction	rsd	fraction_flag	rsd_flag	flags
200.020004272	8979.53417969	3.25268482448	1	1	0.00322580645161	nan	0	0	0
200.023991903	10462.4921224	3.61314659789	1	15	0.0483870967742	19.0161102533	0	1	0
200.032119751	8811.43359375	3.17592985396	1	1	0.00322580645161	nan	0	0	0
200.083496094	8502.65429688	3.1162607469	1	1	0.00322580645161	nan	0	0	0
200.441574097	7588.07080078	3.32601030811	1	1	0.00322580645161	nan	0	0	0
200.44203186	9715.7327474	3.73755863962	1	3	0.00967741935484	9.9779222372	0	1	0
200.442504883	8585.56542969	3.15280486185	1	1	0.00322580645161	nan	0	0	0
200.465039063	8868.6640625	3.51107896846	1	5	0.0161290322581	13.7545121138	0	1	0
200.903961182	7275.71582031	3.02568174287	1	1	0.00322580645161	nan	0	0	0
200.922554016	9301.765625	3.79024391374	1	2	0.00645161290323	13.6045555027	0	1	0
200.923104422	9066.16301618	3.5740474936	1	7	0.0225806451613	12.4806183545	0	1	0
200.936782837	8093.36279297	3.18223807945	1	1	0.00322580645161	nan	0	0	0
200.937906901	9560.66601562	3.73723339	1	3	0.00967741935484	4.28435003114	0	1	0
200.93888855	9833.70904948	3.62751021128	1	15	0.0483870967742	11.7670782621	0	1	0
200.939552307	11580.2124023	4.39972298945	1	2	0.00645161290323	20.490701006	0	1	0
200.940078735	7962.72802734	3.31986560417	1	1	0.00322580645161	nan	0	0	0
200.940572829	11363.2421177	4.30672752361	1	21	0.0677419354839	36.7179809399	0	0	0
200.941186675	12535.1808822	4.74146680074	1	141	0.454838709677	42.8615092135	0	0	0
200.945782471	9124.96757813	3.69751564265	1	5	0.0161290322581	5.23379474003	0	1	0
200.954055786	7859.39941406	3.1408968034	1	1	0.00322580645161	nan	0	0	0
200.956691395	10804.0313388	3.99380177365	1	11	0.0354838709677	18.2975452468	0	1	0
200.957165886	9642.12591912	3.65809925723	1	17	0.0548387096774	18.7290880327	0	1	0
200.957685991	9848.64537464	3.73589124426	1	11	0.0354838709677	14.6273646899	0	1	0
200.958252617	9461.03704569	3.6484505268	1	23	0.0741935483871	21.2194380616	0	1	0
200.958789825	9728.88781738	3.71842824377	1	12	0.0387096774194	15.8251968582	0	1	0
200.95955658	9546.34399414	3.48757343108	1	4	0.0129032258065	11.3611969518	0	1	0
200.972610474	8986.86132812	3.38763139166	1	1	0.00322580645161	nan	0	0	0
200.974968958	24685.7358973	8.85251961372	1	221	0.712903225806	63.3062886103	1	0	0
