mz	intensity	snr	snr_flag	present	fraction	rsd	fraction_flag	rsd_flag	flags
200.019332886	24021.5605469	3.00919754212	1	1	0.00869565217391	nan	0	0	0
200.023268061	146338.161515	17.2291494911	1	115	1.0	64.2800538805	1	0	0
200.03136607	38426.5690616	4.66609501042	1	89	0.773913043478	40.7797291477	1	0	0
200.059624167	30427.8730469	3.61779074388	1	34	0.295652173913	15.1407336041	0	1	0
200.938572475	83160.5482875	10.1001978229	1	112	0.973913043478	29.0249812399	1	1	1
200.956454754	33139.6051025	4.06008675818	1	32	0.278260869565	32.9906237677	0	0	0
200.971939087	27283.3564453	3.40589884769	1	2	0.0173913043478	5.17252086457	0	1	0
200.974278326	558391.830163	66.4793178599	1	115	1.0	14.9662548197	1	1	1
200.97690783	27195.0548931	3.27096346966	1	19	0.165217391304	7.83683826368	0	1	0
200.98377741	32076.7167614	3.80390317606	1	55	0.478260869565	23.5962651462	0	1	0
201.007261326	131980.899524	15.6778830188	1	115	1.0	32.4628564739	1	0	0
201.018482753	30183.7459077	3.58273462716	1	21	0.182608695652	14.2298066653	0	1	0
201.026906331	26367.969401	3.14382380308	1	3	0.0260869565217	6.53231686371	0	1	0
201.043664551	499436.840489	59.46604717	1	115	1.0	13.9518852749	1	1	1
201.046173096	26938.9586589	3.2495532009	1	18	0.15652173913	7.74953673158	0	1	0
201.061040331	94652.960394	11.2928261922	1	115	1.0	27.3746430288	1	1	1
201.079956974	38740.71242	4.78251682343	1	83	0.721739130435	45.4368479564	1	0	0
201.097417151	234942.094973	28.0463498808	1	115	1.0	13.5301061626	1	1	1
201.991142344	66888.3529315	8.05757242884	1	107	0.930434782609	41.0703620248	1	0	0
202.002542202	57855.0693172	6.8575918994	1	104	0.904347826087	47.9134112561	1	0	0
202.002960205	29301.8574219	3.85690135198	1	1	0.00869565217391	nan	0	0	0
202.01688385	27390.1826172	3.3178400216	1	2	0.0173913043478	3.84351972028	0	1	0
202.038927028	145882.189878	17.1443341389	1	115	1.0	45.0090169369	1	0	0
202.047005101	32507.3921155	3.84987398537	1	38	0.330434782609	28.1265692943	0	1	0
202.056167603	27824.4770508	3.19594250123	1	4	0.0347826086957	10.2608875578	0	1	0
202.0982115	28194.9268663	3.38394975338	1	18	0.15652173913	14.3338712649	0	1	0
202.100692749	25760.9550781	3.08108435288	1	2	0.0173913043478	0.133400466989	0	1	0
202.107582092	25953.0114746	3.23686515143	1	8	0.0695652173913	6.9765360669	0	1	0
202.180400683	135073.85394	16.1048727532	1	115	1.0	16.28556546	1	1	1
202.947250366	25545.2324219	3.04289178068	1	1	0.00869565217391	nan	0	0	0
