mz	intensity	present	rsd	present_flag	rsd_flag	flags
74.0239848972	1748.27270508	1	nan	0	0	0
74.0244127448	1708.28649902	1	nan	0	0	0
79.0541880924	1655.10644531	1	nan	0	0	0
91.0541675484	2240.44458008	2	17.2623405759	1	1	1
95.0160858176	2103.96761068	3	4.20489119551	1	1	1
95.0851560034	2406.76550293	2	2.42155406743	1	1	1
95.0854897536	8017.24788411	3	19.7221664292	1	1	1
96.0419440285	2504.12491862	3	22.812529028	1	0	0
96.0474089996	2124.44506836	1	nan	0	0	0
96.0477213973	5822.44466146	3	18.4659407906	1	1	1
97.0075422847	2755.63659668	2	9.9849717653	1	1	1
97.0283609562	3099.90372721	3	12.553779533	1	1	1
97.0644402403	1602.1628418	1	nan	0	0	0
97.064746917	5101.8766276	3	15.6601421993	1	1	1
97.0858855325	2176.41499837	3	14.4771270515	1	1	1
97.1007966179	2145.60351562	2	4.86391594731	1	1	1
97.1011327794	8222.15738932	3	23.1733807867	1	0	0
99.0440158988	4432.8499349	3	5.14366950896	1	1	1
99.0800309999	2386.50708008	3	9.38354250592	1	1	1
99.0804021107	10764.117513	3	4.25417138395	1	1	1
100.075645927	4175.22290039	3	1.68617643535	1	1	1
101.002460124	1824.88549805	3	7.95682728782	1	1	1
101.002734779	4911.59895833	3	11.8000974884	1	1	1
101.003116523	23181.3496094	3	12.0005047678	1	1	1
101.003438568	2094.93701172	1	nan	0	0	0
101.059002047	2452.14900716	3	6.15015243095	1	1	1
101.059283401	7568.50406901	3	15.4265942683	1	1	1
101.059664435	35930.2096354	3	4.23363487808	1	1	1
101.060010883	1833.57489014	2	11.2576353659	1	1	1
101.096056593	3515.98225911	3	6.50271138606	1	1	1
101.330512552	1616.21777344	1	nan	0	0	0
101.726763531	1664.38439941	1	nan	0	0	0
101.733745632	3145.02685547	1	nan	0	0	0
101.735789336	1633.24890137	1	nan	0	0	0
101.736404695	2450.56860352	1	nan	0	0	0
101.736893538	1575.77502441	1	nan	0	0	0
101.73804327	1521.0480957	1	nan	0	0	0
101.738550184	1755.1151123	1	nan	0	0	0
101.739915158	1862.6875	1	nan	0	0	0
101.742250007	1790.09375	1	nan	0	0	0
101.742559616	1859.97753906	1	nan	0	0	0
101.743316272	2569.1428833	2	38.9557087825	1	0	0
101.743531699	1846.68652344	1	nan	0	0	0
101.74422278	2008.36743164	1	nan	0	0	0
101.744626071	1728.69909668	1	nan	0	0	0
101.744930964	2009.46850586	1	nan	0	0	0
101.745388942	2144.19799805	1	nan	0	0	0
101.745723566	2062.52539062	1	nan	0	0	0
101.745996934	2419.64916992	1	nan	0	0	0
101.746443046	2341.92895508	2	2.48729716141	1	1	1
101.746741351	1945.10998535	1	nan	0	0	0
101.747013568	1955.65490723	2	11.1226489438	1	1	1
