mz	intensity	present	rsd	present_flag	rsd_flag	flags
96.9686250231	10009.9042969	2	0.354570697655	1	1	1
97.0049868068	20418.0657552	3	28.2286964438	1	0	0
98.995500635	43612.5546875	3	10.8192688514	1	1	1
101.328540785	11872.8232422	1	nan	0	0	0
101.726715437	10040.6972656	1	nan	0	0	0
101.727058144	11741.4658203	1	nan	0	0	0
101.73447751	10142.0263672	1	nan	0	0	0
101.734766402	15125.7939453	1	nan	0	0	0
101.736097156	12060.2949219	1	nan	0	0	0
101.736664018	12587.3544922	1	nan	0	0	0
101.736971215	15598.3222656	1	nan	0	0	0
101.738857092	12504.6157227	2	20.2559304957	1	0	0
101.739147642	11781.9111328	1	nan	0	0	0
101.739395028	12576.965332	2	13.5179738039	1	1	1
101.740006503	12461.2871094	1	nan	0	0	0
101.740471618	12362.9765625	1	nan	0	0	0
101.741001539	10508.8037109	1	nan	0	0	0
101.741320692	10140.2874349	3	1.74344045278	1	1	1
101.741567757	11671.4794922	1	nan	0	0	0
101.742381857	10269.1298828	1	nan	0	0	0
101.742613587	10485.1826172	1	nan	0	0	0
101.743000315	10679.1923828	1	nan	0	0	0
101.743301858	11188.8056641	1	nan	0	0	0
101.743974082	18332.6259766	2	8.70099089583	1	1	1
101.744448673	19974.2207031	1	nan	0	0	0
101.744903451	13062.1552734	1	nan	0	0	0
101.745711132	12895.3149414	2	1.86171281244	1	1	1
101.745971335	14397.5302734	1	nan	0	0	0
101.74637347	15000.1098633	2	3.78057452379	1	1	1
101.746775739	11172.1191406	2	10.1801971111	1	1	1
101.747358957	13577.0541992	2	7.80176960877	1	1	1
101.747713625	12252.7666016	1	nan	0	0	0
101.748149379	12571.8310547	1	nan	0	0	0
101.748502981	14922.4477539	2	22.7408646913	1	0	0
101.748928674	14760.7604167	3	24.1813791875	1	0	0
101.749449557	10873.0849609	1	nan	0	0	0
101.749742653	14050.7451172	2	16.9355662091	1	1	1
101.750119407	13832.1557617	2	9.91660446434	1	1	1
101.750609713	12466.765625	1	nan	0	0	0
101.750865098	22472.7988281	1	nan	0	0	0
101.751535158	15816.0507812	2	15.9825646859	1	1	1
101.751919385	12339.3334961	2	9.77426060867	1	1	1
101.7525637	12049.1845703	1	nan	0	0	0
101.752842601	12935.0888672	1	nan	0	0	0
101.753169389	14386.0727539	2	0.278470961753	1	1	1
101.753562861	22978.186849	3	11.7111094579	1	1	1
101.753831763	13210.1210938	1	nan	0	0	0
101.754222437	14620.3935547	2	17.9888590711	1	1	1
101.754559823	19301.9472656	3	32.4679272884	1	0	0
101.754957947	13375.2685547	1	nan	0	0	0
101.755325466	16819.887207	2	11.9770068501	1	1	1
101.755614271	23792.8730469	2	23.9715378924	1	0	0
101.755996529	15200.9833984	2	29.2193459677	1	0	0
101.756369316	16272.4511719	3	15.8135421265	1	1	1
101.756631934	12604.7998047	1	nan	0	0	0
101.756884803	17539.1308594	1	nan	0	0	0
101.757093548	20001.7617188	1	nan	0	0	0
101.757322056	12684.9746094	1	nan	0	0	0
101.75785707	18010.046224	3	9.80320214173	1	1	1
101.758247466	17153.3916016	2	1.45067999433	1	1	1
101.758506857	25084.5664062	2	21.7631016582	1	0	0
101.758727602	16322.484375	1	nan	0	0	0
101.759030245	15523.0358073	3	6.19407402281	1	1	1
101.759329548	20893.6269531	1	nan	0	0	0
101.759779596	19781.7949219	2	0.583702324946	1	1	1
101.76001911	16896.0761719	1	nan	0	0	0
101.760230694	19834.9897461	2	21.8176754654	1	0	0
101.760466885	31278.2832031	1	nan	0	0	0
101.76072961	19311.3857422	3	36.9897769695	1	0	0
101.76102889	12189.7236328	1	nan	0	0	0
101.761281558	27607.3665365	3	5.5676233466	1	1	1
101.761736528	13894.7978516	2	7.68383485473	1	1	1
101.762274527	16149.6254883	2	25.3358326657	1	0	0
101.762543042	15967.1367188	2	19.0070572198	1	1	1
101.762856326	17794.519043	2	25.0470081161	1	0	0
101.763180291	26878.6673177	3	20.6372115285	1	0	0
101.763475021	11407.1630859	1	nan	0	0	0
101.763837344	18895.0151367	2	25.3192218485	1	0	0
101.764274689	22428.960612	3	30.4820702799	1	0	0
101.764599249	18648.9589844	2	0.661051895595	1	1	1
101.764899765	17603.5356445	2	16.2814499185	1	1	1
101.765254423	32051.0976562	2	8.9014233985	1	1	1
101.765707725	21379.2070312	1	nan	0	0	0
101.765943414	20597.046224	3	34.6422530344	1	0	0
101.766407052	14641.2093099	3	21.0768460851	1	0	0
101.766743365	15721.9134115	3	16.7555564884	1	1	1
101.767169397	18423.8706055	2	3.95764220516	1	1	1
101.7675568	26395.4609375	3	16.3801075046	1	1	1
101.767983773	16661.3334961	2	13.8003759465	1	1	1
101.768300528	22757.5375977	2	44.8007020854	1	0	0
101.768729442	15923.3203125	3	17.5008739732	1	1	1
101.769083047	25393.8710938	2	15.1377339297	1	1	1
101.769302896	11333.6064453	1	nan	0	0	0
101.769530077	22051.5966797	2	5.70831415224	1	1	1
101.769949795	28544.4615885	3	19.4784289221	1	1	1
101.770333968	13665.0209961	2	12.1910080421	1	1	1
101.770761186	22307.4576823	3	25.4225631698	1	0	0
101.771050956	19279.6246745	3	12.2911349622	1	1	1
101.771497629	18977.4905599	3	11.8269861108	1	1	1
101.771938068	25099.9713542	3	24.8025828982	1	0	0
101.77219516	22205.4174805	2	55.8678439583	1	0	0
101.7725188	21088.6469727	2	27.7007361202	1	0	0
101.77283078	29352.2792969	2	1.08446912429	1	1	1
101.773146401	32460.5970052	3	27.4395225291	1	0	0
101.773559379	30482.9739583	3	21.3324238892	1	0	0
101.773987462	26242.7871094	3	8.71936457876	1	1	1
101.774217661	25083.0996094	1	nan	0	0	0
101.774469345	26078.4169922	2	29.2862396425	1	0	0
101.774731003	26721.1005859	2	14.4628102345	1	1	1
101.775206069	38062.1738281	2	20.3377923035	1	0	0
101.775541089	30032.7369792	3	40.7949365997	1	0	0
101.775924804	27059.2978516	2	22.7528473797	1	0	0
101.776271367	21471.1523438	3	12.8870041647	1	1	1
101.776592629	32064.2060547	2	17.6829071626	1	1	1
101.776839761	24867.6425781	3	25.7536120732	1	0	0
101.777147117	13063.3277995	3	14.4660436173	1	1	1
101.777618478	39581.8079427	3	31.6233966165	1	0	0
101.778258417	25414.0253906	2	32.1761229132	1	0	0
101.778549481	24899.3662109	2	9.59435894904	1	1	1
101.778767207	24156.1165365	3	24.8925698657	1	0	0
101.77910144	27319.7526042	3	3.3293309936	1	1	1
101.779460274	12922.9267578	1	nan	0	0	0
101.779688688	47699.7890625	1	nan	0	0	0
101.779961299	27892.53125	3	19.259734388	1	1	1
101.780298102	32156.7988281	1	nan	0	0	0
101.780662606	41815.9492188	3	14.2759751017	1	1	1
