mz	intensity	snr	snr_flag	present	fraction	rsd	fraction_flag	rsd_flag	flags
70.0361383402	2660.51489258	0.801981914714	0	1.0	1.0	nan	1	1	0
70.044032563	2776.48950195	0.836941139916	0	1.0	1.0	nan	1	1	0
70.0637830847	2530.47973633	0.762784297786	0	1.0	1.0	nan	1	1	0
70.0885644669	3980.02148438	1.19973214942	0	1.0	1.0	nan	1	1	0
70.0974872816	3609.95776367	1.08818065534	0	1.0	1.0	nan	1	1	0
70.1610701249	2865.56811523	0.863792873405	0	1.0	1.0	nan	1	1	0
70.1613256449	3064.3190918	0.923704091786	0	1.0	1.0	nan	1	1	0
70.1637454009	2973.25024414	0.896252424811	0	1.0	1.0	nan	1	1	0
70.2169389073	3011.79223633	0.907870469415	0	1.0	1.0	nan	1	1	0
70.2252624408	2466.44335938	0.743481261241	0	1.0	1.0	nan	1	1	0
70.2303865741	3203.40380859	0.965629595679	0	1.0	1.0	nan	1	1	0
70.2643733308	2820.35693359	0.850164477594	0	1.0	1.0	nan	1	1	0
70.2929987965	3131.65478516	0.944001669687	0	1.0	1.0	nan	1	1	0
70.3025949843	2324.45507812	0.700680510912	0	1.0	1.0	nan	1	1	0
70.3034166844	2728.59155273	0.822502848617	0	1.0	1.0	nan	1	1	0
70.3142408226	2843.43896484	0.857122293041	0	1.0	1.0	nan	1	1	0
70.3238551015	3470.65405273	1.04618913816	0	1.0	1.0	nan	1	1	0
70.3287213705	3111.7019043	0.937987100988	0	1.0	1.0	nan	1	1	0
70.3664416522	3264.10058594	0.983925947955	0	1.0	1.0	nan	1	1	0
70.3899793919	3456.15380859	1.0418182047	0	1.0	1.0	nan	1	1	0
70.4228551417	3966.81054688	1.19574986277	0	1.0	1.0	nan	1	1	0
70.4267449431	3106.46557617	0.93640866951	0	1.0	1.0	nan	1	1	0
70.436122169	3081.75927734	0.928961237099	0	1.0	1.0	nan	1	1	0
70.4391667119	2858.89038086	0.861779946428	0	1.0	1.0	nan	1	1	0
70.4599495072	3786.37402344	1.1413593277	0	1.0	1.0	nan	1	1	0
70.4638705955	3334.13671875	1.00503754257	0	1.0	1.0	nan	1	1	0
70.5213833053	3286.79052734	0.990765572384	0	1.0	1.0	nan	1	1	0
70.5228471243	3105.08178711	0.935991542056	0	1.0	1.0	nan	1	1	0
70.543809803	3961.31079102	1.194092024	0	1.0	1.0	nan	1	1	0
70.5492446016	3465.3515625	1.04459076286	0	1.0	1.0	nan	1	1	0
70.5597715676	3367.07104492	1.01496522012	0	1.0	1.0	nan	1	1	0
70.5976560756	2583.44726562	0.778750756264	0	1.0	1.0	nan	1	1	0
70.6412830909	3346.55444336	1.00878072424	0	1.0	1.0	nan	1	1	0
70.6678276001	3444.40112305	1.03827549149	0	1.0	1.0	nan	1	1	0
70.7012335821	3147.69433594	0.948836609602	0	1.0	1.0	nan	1	1	0
70.706035597	3062.86254883	0.923265033496	0	1.0	1.0	nan	1	1	0
70.7232553287	2972.01049805	0.89587871747	0	1.0	1.0	nan	1	1	0
70.7328654861	3024.64624023	0.911745162503	0	1.0	1.0	nan	1	1	0
70.7500828301	3778.79516602	1.13907476745	0	1.0	1.0	nan	1	1	0
70.7550057565	3598.7175293	1.0847924147	0	1.0	1.0	nan	1	1	0
70.8360640896	2419.40551758	0.729302239528	0	1.0	1.0	nan	1	1	0
70.8838927499	3860.00073242	1.16355326062	0	1.0	1.0	nan	1	1	0
70.8868959201	2286.0090332	0.689091388519	0	1.0	1.0	nan	1	1	0
70.8958055927	2789.38476562	0.840828270291	0	1.0	1.0	nan	1	1	0
70.9145519059	3286.62768555	0.990716485579	0	1.0	1.0	nan	1	1	0
70.9342835458	3419.70239258	1.03083034047	0	1.0	1.0	nan	1	1	0
70.9348432495	3417.33642578	1.03011714673	0	1.0	1.0	nan	1	1	0
70.9967203983	3045.01196289	0.917884177659	0	1.0	1.0	nan	1	1	0
70.999671662	2475.15820312	0.746108251639	0	1.0	1.0	nan	1	1	0
71.0051468818	2770.95410156	0.835272556509	0	1.0	1.0	nan	1	1	0
71.035826496	2774.17553711	0.836243621567	0	1.0	1.0	nan	1	1	0
71.0452823717	2947.00219727	0.88834025001	0	1.0	1.0	nan	1	1	0
71.046063024	3338.22680664	1.00627045299	0	1.0	1.0	nan	1	1	0
71.0674999486	2496.49584961	0.752540242165	0	1.0	1.0	nan	1	1	0
71.0706412752	3672.83691406	1.10713485912	0	1.0	1.0	nan	1	1	0
71.1034611487	2670.02099609	0.804847421357	0	1.0	1.0	nan	1	1	0
71.1134724053	2677.03173828	0.806960729746	0	1.0	1.0	nan	1	1	0
71.117511353	3143.16210938	0.94747042152	0	1.0	1.0	nan	1	1	0
71.1222513159	3360.03637695	1.01284469958	0	1.0	1.0	nan	1	1	0
71.1606609912	3488.71411133	1.05163313714	0	1.0	1.0	nan	1	1	0
71.1618648297	2703.32348633	0.814886077768	0	1.0	1.0	nan	1	1	0
71.1726803294	2852.32470703	0.859800798827	0	1.0	1.0	nan	1	1	0
71.1739151122	3318.17700195	1.00022666771	0	1.0	1.0	nan	1	1	0
71.211755192	3267.09033203	0.984827172866	0	1.0	1.0	nan	1	1	0
71.2132487539	2615.40795898	0.788384943289	0	1.0	1.0	nan	1	1	0
71.2225511913	2590.04272461	0.780738882262	0	1.0	1.0	nan	1	1	0
71.2278899216	2764.98193359	0.83347231449	0	1.0	1.0	nan	1	1	0
71.2352030834	2970.68188477	0.895478222127	0	1.0	1.0	nan	1	1	0
71.3013596032	3161.63085938	0.953037615874	0	1.0	1.0	nan	1	1	0
71.3107732216	3878.57861328	1.16915335123	0	1.0	1.0	nan	1	1	0
71.3133971649	3908.7043457	1.17823441017	0	1.0	1.0	nan	1	1	0
71.3238343137	3138.04394531	0.945927609253	0	1.0	1.0	nan	1	1	0
71.3978958232	2845.60107422	0.857774036289	0	1.0	1.0	nan	1	1	0
71.400917239	2556.36669922	0.770587627932	0	1.0	1.0	nan	1	1	0
71.4145779755	2813.15209961	0.847992662443	0	1.0	1.0	nan	1	1	0
71.4194900801	2416.37304688	0.728388135771	0	1.0	1.0	nan	1	1	0
71.4407200059	3751.41088867	1.13082008891	0	1.0	1.0	nan	1	1	0
71.4468925178	3021.98706055	0.91094358307	0	1.0	1.0	nan	1	1	0
71.4545981243	2713.45874023	0.817941234631	0	1.0	1.0	nan	1	1	0
71.465405184	2776.80444336	0.837036075416	0	1.0	1.0	nan	1	1	0
71.4696026715	3713.85961914	1.11950068637	0	1.0	1.0	nan	1	1	0
71.5074526593	2794.75292969	0.842446442211	0	1.0	1.0	nan	1	1	0
71.5133750202	3037.12963867	0.915508140793	0	1.0	1.0	nan	1	1	0
