mz	intensity	present	rsd	present_flag	rsd_flag	flags
74.0168824485	8147.82177734	1	nan	0	0	0
90.0549398501	9361.84960938	1	nan	0	0	0
90.4660444612	9457.82617188	1	nan	0	0	0
90.469186144	8374.24414062	1	nan	0	0	0
97.0050038964	21486.5716146	3	12.7281921623	1	1	1
98.9951400713	15040.4785156	3	9.20708847901	1	1	1
98.9954943172	91469.6328125	3	6.93706816202	1	1	1
100.993598998	8742.36132812	1	nan	0	0	0
101.003151625	8417.89453125	1	nan	0	0	0
101.059685255	10529.3041992	2	21.3221007312	1	0	0
101.327633078	9070.84765625	1	nan	0	0	0
101.723705631	8218.56542969	1	nan	0	0	0
101.728977669	9681.91894531	1	nan	0	0	0
101.730266621	9552.39111328	1	nan	0	0	0
101.731026017	8807.48046875	1	nan	0	0	0
101.731621706	8884.52636719	1	nan	0	0	0
101.731903514	13021.125	1	nan	0	0	0
101.732525648	9469.80957031	1	nan	0	0	0
101.733329206	9790.24348958	3	12.8028201912	1	1	1
101.733942299	10218.1699219	1	nan	0	0	0
101.734780206	8449.25195312	1	nan	0	0	0
101.736254288	8476.89648438	1	nan	0	0	0
101.736929304	14294.9580078	1	nan	0	0	0
101.737348291	15901.8613281	1	nan	0	0	0
101.73793608	15369.6123047	1	nan	0	0	0
101.738606539	10854.5766602	2	13.2893027868	1	1	1
101.738916634	15224.4257812	1	nan	0	0	0
101.739149173	11248.9160156	1	nan	0	0	0
101.739438455	9982.77880859	2	2.15601271545	1	1	1
101.740045119	15486.0810547	1	nan	0	0	0
101.740706534	9453.72900391	3	17.7311201997	1	1	1
101.741208213	9436.55501302	3	11.3639580778	1	1	1
101.741581431	14926.6347656	1	nan	0	0	0
101.741864648	12607.7270508	2	16.5458388401	1	1	1
101.742181738	8438.84863281	1	nan	0	0	0
101.742668478	10110.2226562	1	nan	0	0	0
101.742878852	11287.0419922	2	18.8629522014	1	1	1
101.743085263	9505.00585938	2	11.4990189175	1	1	1
101.743462233	15485.2958984	1	nan	0	0	0
101.743966316	10470.7910156	3	5.97747388098	1	1	1
101.74437453	14775.9052734	2	33.2356103657	1	0	0
101.744720975	8356.24853516	2	1.17169406291	1	1	1
101.745179689	10216.5424805	2	15.0399319348	1	1	1
101.745593334	10547.2236328	1	nan	0	0	0
101.745905629	15858.5708008	2	15.0500827428	1	1	1
101.746236426	10370.1230469	1	nan	0	0	0
101.746601508	15313.8886719	2	24.6205988207	1	0	0
101.746987924	15794.7851562	1	nan	0	0	0
101.747205838	11318.5244141	1	nan	0	0	0
101.747548751	19332.3129883	2	41.6444400676	1	0	0
101.747919516	11132.1293945	2	4.87103134091	1	1	1
101.748244798	14293.921224	3	14.9065082294	1	1	1
101.748538735	20433.765625	1	nan	0	0	0
101.748868908	10697.8876953	2	8.92071549244	1	1	1
101.74911431	13213.2241211	2	0.411907563457	1	1	1
101.749710653	13551.7636719	2	7.00016992138	1	1	1
101.74994891	9835.52539062	1	nan	0	0	0
101.750227953	13262.6123047	2	8.29121601895	1	1	1
101.75044795	15779.3720703	1	nan	0	0	0
101.750859639	16087.7685547	3	21.6124575306	1	0	0
101.751233418	22001.921875	1	nan	0	0	0
101.751467887	18976.4726562	2	0.291891048476	1	1	1
101.751818483	13570.8300781	1	nan	0	0	0
101.752148109	14299.5830078	2	2.20936293966	1	1	1
101.752368753	16935.7192383	2	22.5080715791	1	0	0
101.752712294	14401.9267578	2	1.68400590389	1	1	1
101.753212129	10256.0569661	3	29.0718497796	1	0	0
101.753652351	12058.3294271	3	13.4704552293	1	1	1
101.75400455	16549.1420898	2	14.4099974735	1	1	1
101.754242135	15463.7099609	1	nan	0	0	0
101.754741635	8198.62402344	1	nan	0	0	0
101.755208965	12330.1220703	2	15.8913975041	1	1	1
101.755502475	14736.815918	2	11.3327229493	1	1	1
101.755886688	12434.1728516	2	9.25083366758	1	1	1
101.756333726	16489.4392904	3	60.9740022161	1	0	0
101.756572572	15000.1977539	2	21.2198862613	1	0	0
101.756812932	13754.9213867	2	9.24402448428	1	1	1
101.757190018	23431.0136719	2	3.08947167795	1	1	1
101.757566962	15910.0820312	1	nan	0	0	0
101.757826139	16095.6106771	3	28.5108211933	1	0	0
101.758177847	16498.0195312	1	nan	0	0	0
101.758540393	9386.08691406	1	nan	0	0	0
101.758755341	13608.2246094	2	21.2556572305	1	0	0
101.758964566	16294.6494141	1	nan	0	0	0
101.759397278	15896.0878906	1	nan	0	0	0
101.75960239	15289.1201172	2	26.5478751709	1	0	0
101.759926543	15308.9176432	3	18.6073929372	1	1	1
101.760394681	18087.53125	1	nan	0	0	0
101.760651172	13700.6171875	3	18.9366010374	1	1	1
101.760997878	17119.6572266	3	31.2886322538	1	0	0
101.761763148	18601.9667969	2	8.4244494056	1	1	1
101.761978625	22522.0703125	1	nan	0	0	0
