mz	intensity	present	rsd	present_flag	rsd_flag	flags
74.0204683854	8787.30273438	1	nan	0	0	0
74.0219578549	9988.78222656	1	nan	0	0	0
74.0236282241	9664.90136719	1	nan	0	0	0
90.0549077982	8483.10644531	1	nan	0	0	0
97.0049945823	16248.8701172	3	10.4259105157	1	1	1
98.9951232925	10831.9755859	3	9.71217621081	1	1	1
98.9955059393	63509.2382812	3	3.93319424325	1	1	1
98.9957770894	7750.37451172	1	nan	0	0	0
100.993614052	8842.140625	1	nan	0	0	0
101.003138024	9453.94433594	1	nan	0	0	0
101.059702112	10816.9036458	3	17.1407174387	1	1	1
101.328864356	8344.00683594	1	nan	0	0	0
101.51515979	11931.2314453	1	nan	0	0	0
101.730778968	8740.13378906	1	nan	0	0	0
101.733095095	11994.0625	1	nan	0	0	0
101.734381084	9424.45800781	1	nan	0	0	0
101.73849593	9062.53710938	1	nan	0	0	0
101.741214901	10525.9619141	1	nan	0	0	0
101.742249678	8434.75	1	nan	0	0	0
101.742769713	10061.4794922	1	nan	0	0	0
101.74328474	11427.1347656	2	1.04691016944	1	1	1
101.743553299	9152.56152344	1	nan	0	0	0
101.743997982	10407.0322266	1	nan	0	0	0
101.744453162	11472.0009766	2	28.2455611825	1	0	0
101.744811603	11265.203125	2	23.7302575825	1	0	0
101.745641843	8645.10449219	1	nan	0	0	0
101.747332404	10539.5	1	nan	0	0	0
101.748161292	10383.0898438	1	nan	0	0	0
101.748534427	12092.6367188	1	nan	0	0	0
101.748820652	9756.18457031	1	nan	0	0	0
101.749307892	11904.4179688	3	11.6730604935	1	1	1
101.749590033	10791.0341797	1	nan	0	0	0
101.750172214	11136.2783203	1	nan	0	0	0
101.750475967	10356.6962891	1	nan	0	0	0
101.750806666	17256.2495117	2	47.6003075086	1	0	0
101.751863787	14329.1051432	3	4.66516741266	1	1	1
101.752441892	10861.3193359	2	21.1553938499	1	0	0
101.752904469	13063.1811523	3	31.6095503495	1	0	0
101.753267116	12543.9384766	2	27.1588937417	1	0	0
101.753752467	11775.9331055	3	33.8446971628	1	0	0
101.7541897	12341.5361328	2	17.0201411915	1	1	1
101.754547538	12224.4191895	2	36.7140777334	1	0	0
101.754995058	12943.2128906	2	1.50209938999	1	1	1
101.755387189	11691.1210938	2	23.6062473291	1	0	0
101.755604339	9285.33007812	1	nan	0	0	0
101.755950927	8628.86352539	2	13.2865500551	1	1	1
101.756205954	12284.9892578	1	nan	0	0	0
101.75641037	9158.93017578	2	3.74387531295	1	1	1
101.756695656	10445.7265625	2	6.2635606068	1	1	1
101.756964609	12885.4833984	1	nan	0	0	0
101.757349643	9707.58496094	1	nan	0	0	0
101.757736947	11284.3974609	2	5.22150892285	1	1	1
101.757970328	11137.0595703	1	nan	0	0	0
101.758182718	22365.0117188	1	nan	0	0	0
101.758973097	14252.5328776	3	13.0000460006	1	1	1
101.759237828	13598.2265625	3	16.125112066	1	1	1
101.759756009	16277.921875	1	nan	0	0	0
101.760168404	12761.0852865	3	18.8393898408	1	1	1
101.760589617	23138.5371094	1	nan	0	0	0
101.761032715	13211.3707682	3	23.5164225931	1	0	0
101.761462156	18708.2093099	3	13.2023233353	1	1	1
101.761717632	23819.6679688	1	nan	0	0	0
101.762129545	16164.1253255	3	15.669963536	1	1	1
101.762516081	22609.9238281	2	13.584008543	1	1	1
101.762936383	15854.9082031	2	31.8167198077	1	0	0
101.763156662	12420.0400391	1	nan	0	0	0
101.763512656	21024.0117188	2	38.5251369017	1	0	0
101.763796113	17211.1969401	3	22.0449676567	1	0	0
101.764216255	15930.2011719	3	15.8733692847	1	1	1
101.764699875	14513.2646484	3	18.6806231687	1	1	1
101.765122868	20273.2623698	3	13.4765660571	1	1	1
101.765592749	16548.2675781	2	28.6494538408	1	0	0
101.765834254	13794.4111328	1	nan	0	0	0
101.766083369	18198.1308594	2	1.14344675894	1	1	1
101.766403591	10798.6328125	2	19.6123641231	1	1	1
101.766868806	12819.878418	2	27.2622690493	1	0	0
101.767134637	14631.3110352	2	9.26489554037	1	1	1
101.767340306	10950.9741211	2	25.0623172034	1	0	0
101.767822684	17981.9804688	3	36.7721748737	1	0	0
101.76828636	14875.8645833	3	12.1845941848	1	1	1
101.768670937	19058.4716797	2	13.1059201804	1	1	1
101.769027777	18275.8398438	1	nan	0	0	0
101.769300849	14506.2666016	3	28.2626911235	1	0	0
101.769525956	14323.3808594	1	nan	0	0	0
101.76976333	17148.0834961	2	5.18357226907	1	1	1
101.770167175	16150.0577799	3	58.7442527733	1	0	0
101.770588801	13477.0800781	2	26.6867721747	1	0	0
101.770905768	14871.0136719	2	36.3421841384	1	0	0
101.771152656	27973.1601562	2	16.2633783025	1	1	1
101.771793034	28735.8662109	2	16.6240726972	1	1	1
101.772241903	18819.934082	2	43.0437437448	1	0	0
101.772487096	18939.4179688	2	7.45788741281	1	1	1
101.772748958	20304.3242188	2	39.3256651187	1	0	0
101.773193886	27578.0478516	3	29.9957107518	1	0	0
101.773537687	18642.953125	2	12.2767671934	1	1	1
101.773836654	19064.0026042	3	35.4818186937	1	0	0
101.774125386	16641.4446615	3	21.0454027211	1	0	0
101.774435841	14425.2692057	3	26.7593594403	1	0	0
101.774712615	29584.6015625	1	nan	0	0	0
101.77493482	26232.6582031	3	28.3073251434	1	0	0
101.775256079	17537.953776	3	18.2788348487	1	1	1
101.775604257	24234.4169922	3	28.2556688878	1	0	0
101.775833876	26817.7714844	1	nan	0	0	0
101.77614144	16046.7299805	2	17.7625175106	1	1	1
101.776566281	22125.2529297	3	46.0648188535	1	0	0
101.776826063	15053.3085938	1	nan	0	0	0
101.777031844	14737.6468099	3	20.5156362506	1	0	0
101.777246665	27160.5078125	1	nan	0	0	0
101.777468587	19306.9189453	2	13.4154616385	1	1	1
101.777718712	25344.8974609	2	35.6896025245	1	0	0
101.777997264	26314.1162109	2	18.1555987412	1	1	1
101.778256176	21115.0546875	3	32.5193710935	1	0	0
101.77862363	20969.0940755	3	28.4021000266	1	0	0
101.77902773	19457.815918	2	39.0781093525	1	0	0
101.779248722	25078.5273438	1	nan	0	0	0
101.779524341	22156.8053385	3	47.1175103391	1	0	0
101.779759665	15074.4052734	2	42.3514259444	1	0	0
101.780079555	18452.2236328	3	26.0014628852	1	0	0
101.780660995	22885.2750651	3	12.0088836019	1	1	1
101.780962357	22341.6787109	2	36.2694067925	1	0	0
101.78119119	20066.6699219	1	nan	0	0	0
101.781534504	36917.5690104	3	33.5482582671	1	0	0
101.781968928	21173.3597005	3	21.9333142037	1	0	0
