mz	intensity	snr	snr_flag	present	fraction	rsd	fraction_flag	rsd_flag	flags
70.0094676632	2568.00537109	0.934027023919	0	1.0	1.0	nan	1	1	0
70.0245303719	2513.42529297	0.914175325589	0	1.0	1.0	nan	1	1	0
70.0482462546	2427.14868164	0.882795061584	0	1.0	1.0	nan	1	1	0
70.0574211617	2837.08203125	1.03189476007	0	1.0	1.0	nan	1	1	0
70.0917344906	2654.18432617	0.965371768693	0	1.0	1.0	nan	1	1	0
70.0982961852	2451.05126953	0.891488837416	0	1.0	1.0	nan	1	1	0
70.1021989415	2132.28271484	0.775547318054	0	1.0	1.0	nan	1	1	0
70.1280225339	2518.02636719	0.915848814168	0	1.0	1.0	nan	1	1	0
70.132280367	2676.24389648	0.973395207834	0	1.0	1.0	nan	1	1	0
70.1491234799	2390.84716797	0.86959158656	0	1.0	1.0	nan	1	1	0
70.1519407901	3150.35302734	1.14583672431	0	1.0	1.0	nan	1	1	0
70.2169428504	2719.46484375	0.989115397986	0	1.0	1.0	nan	1	1	0
70.2229306879	2542.88525391	0.924890412072	0	1.0	1.0	nan	1	1	0
70.2291705518	2293.6015625	0.834221713705	0	1.0	1.0	nan	1	1	0
70.2488188719	2176.28710938	0.791552461239	0	1.0	1.0	nan	1	1	0
70.2722227593	2396.25317383	0.871557842402	0	1.0	1.0	nan	1	1	0
70.3237289387	2476.10351562	0.900600763397	0	1.0	1.0	nan	1	1	0
70.3267180486	2935.00244141	1.06751007081	0	1.0	1.0	nan	1	1	0
70.3540306612	2343.35644531	0.85231840682	0	1.0	1.0	nan	1	1	0
70.3811786237	2307.19433594	0.839165635499	0	1.0	1.0	nan	1	1	0
70.3887281715	2593.28222656	0.943220644132	0	1.0	1.0	nan	1	1	0
70.4133988363	2334.73217773	0.849181614713	0	1.0	1.0	nan	1	1	0
70.4474223575	2232.91601562	0.812149353039	0	1.0	1.0	nan	1	1	0
70.4771007664	2139.27319336	0.778089873423	0	1.0	1.0	nan	1	1	0
70.4821342526	2041.07702637	0.742374265251	0	1.0	1.0	nan	1	1	0
70.4956815742	2229.50170898	0.810907511918	0	1.0	1.0	nan	1	1	0
70.5115151554	2844.75854492	1.03468683804	0	1.0	1.0	nan	1	1	0
70.5214852156	3169.16162109	1.15267772824	0	1.0	1.0	nan	1	1	0
70.5291489712	2184.95629883	0.794705592192	0	1.0	1.0	nan	1	1	0
70.5504409583	2519.01049805	0.916206759221	0	1.0	1.0	nan	1	1	0
70.6765904669	1970.98840332	0.716881846609	0	1.0	1.0	nan	1	1	0
70.6850834939	2263.89819336	0.823418095539	0	1.0	1.0	nan	1	1	0
70.6897968587	2351.27661133	0.855199105271	0	1.0	1.0	nan	1	1	0
70.6909497938	2383.61206055	0.866960055517	0	1.0	1.0	nan	1	1	0
70.7311028747	2598.67211914	0.945181039302	0	1.0	1.0	nan	1	1	0
70.7361873595	2174.88305664	0.791041783492	0	1.0	1.0	nan	1	1	0
70.7383137372	2175.2175293	0.791163436859	0	1.0	1.0	nan	1	1	0
70.7566199453	2947.77905273	1.07215714063	0	1.0	1.0	nan	1	1	0
70.7620516969	2745.80078125	0.998694224262	0	1.0	1.0	nan	1	1	0
70.7799502996	2779.55053711	1.01096958177	0	1.0	1.0	nan	1	1	0
70.8100833783	2540.06689453	0.923865327059	0	1.0	1.0	nan	1	1	0
70.8124816421	2629.89892578	0.956538757475	0	1.0	1.0	nan	1	1	0
70.8316910484	2856.55639648	1.03897791636	0	1.0	1.0	nan	1	1	0
70.8505875087	2096.98974609	0.76271066789	0	1.0	1.0	nan	1	1	0
70.8524976746	2301.82202148	0.837211633791	0	1.0	1.0	nan	1	1	0
70.8686264547	2717.82592773	0.988519296488	0	1.0	1.0	nan	1	1	0
70.8725653414	2320.20654297	0.843898395463	0	1.0	1.0	nan	1	1	0
70.8773095236	2216.44140625	0.806157258732	0	1.0	1.0	nan	1	1	0
70.8807527606	2306.75952148	0.839007486122	0	1.0	1.0	nan	1	1	0
70.8955025106	2254.30078125	0.819927354292	0	1.0	1.0	nan	1	1	0
70.9127647374	2489.96508789	0.905642451875	0	1.0	1.0	nan	1	1	0
70.9469877949	2232.94702148	0.812160630395	0	1.0	1.0	nan	1	1	0
70.9702879106	2514.3815918	0.914523147661	0	1.0	1.0	nan	1	1	0
70.9729696	2832.66748047	1.03028911322	0	1.0	1.0	nan	1	1	0
70.9736795294	2438.39599609	0.886885900242	0	1.0	1.0	nan	1	1	0
71.0128453745	2587.68823242	0.94118601377	0	1.0	1.0	nan	1	1	0
71.0335306195	2583.67724609	0.939727150146	0	1.0	1.0	nan	1	1	0
71.0407210594	2672.73632812	0.972119445847	0	1.0	1.0	nan	1	1	0
71.0443920485	2499.60766602	0.909149620766	0	1.0	1.0	nan	1	1	0
71.0633377229	2179.98168945	0.792896242554	0	1.0	1.0	nan	1	1	0
71.0711952171	2321.56103516	0.8443910472	0	1.0	1.0	nan	1	1	0
71.0821843692	2118.05761719	0.770373409238	0	1.0	1.0	nan	1	1	0
71.1098210983	2423.78320312	0.881570980078	0	1.0	1.0	nan	1	1	0
71.1393410942	1921.22058105	0.698780447196	0	1.0	1.0	nan	1	1	0
71.13943034	2106.02539062	0.765997084759	0	1.0	1.0	nan	1	1	0
71.1416309542	2309.47119141	0.839993766375	0	1.0	1.0	nan	1	1	0
71.1846978206	2591.78515625	0.942676134318	0	1.0	1.0	nan	1	1	0
71.2194572518	2625.98535156	0.955115324284	0	1.0	1.0	nan	1	1	0
71.253973274	2343.45922852	0.852355790811	0	1.0	1.0	nan	1	1	0
71.3023520823	2071.23413086	0.753342914646	0	1.0	1.0	nan	1	1	0
71.3122910492	2421.02001953	0.88056596343	0	1.0	1.0	nan	1	1	0
71.3163840441	1939.79125977	0.705534917402	0	1.0	1.0	nan	1	1	0
71.3164709326	2117.34057617	0.770112609283	0	1.0	1.0	nan	1	1	0
71.3296242458	1988.87756348	0.723388436981	0	1.0	1.0	nan	1	1	0
71.3359152922	3028.29785156	1.10144319076	0	1.0	1.0	nan	1	1	0
71.3734765732	2224.40209961	0.809052697663	0	1.0	1.0	nan	1	1	0
71.383928798	2635.33203125	0.958514869904	0	1.0	1.0	nan	1	1	0
71.3987611596	2144.33642578	0.779931456764	0	1.0	1.0	nan	1	1	0
71.401938913	2207.94311523	0.803066286433	0	1.0	1.0	nan	1	1	0
71.4029279435	2823.79858398	1.02706334544	0	1.0	1.0	nan	1	1	0
71.4091952962	2806.84033203	1.02089534214	0	1.0	1.0	nan	1	1	0
71.4098130822	2838.16748047	1.03228955632	0	1.0	1.0	nan	1	1	0
71.4107136535	2949.47436523	1.07277375448	0	1.0	1.0	nan	1	1	0
71.4190868403	2565.32324219	0.933051488234	0	1.0	1.0	nan	1	1	0
71.4345631819	2839.27294922	1.03269163402	0	1.0	1.0	nan	1	1	0
71.434978137	2497.10766602	0.908240328446	0	1.0	1.0	nan	1	1	0
71.4508484706	2135.13427734	0.776584479606	0	1.0	1.0	nan	1	1	0
71.4764973401	2703.86328125	0.983440845606	0	1.0	1.0	nan	1	1	0
71.4903242892	2402.15283203	0.873703647958	0	1.0	1.0	nan	1	1	0
71.4956376824	2392.55224609	0.870211752337	0	1.0	1.0	nan	1	1	0
71.5239365952	2398.52929688	0.872385706884	0	1.0	1.0	nan	1	1	0
71.5380783156	2185.10766602	0.794760647001	0	1.0	1.0	nan	1	1	0
71.5381864718	2389.89575195	0.86924554045	0	1.0	1.0	nan	1	1	0
71.6079810782	2631.55615234	0.957141518829	0	1.0	1.0	nan	1	1	0
71.617401481	2866.61938477	1.04263799554	0	1.0	1.0	nan	1	1	0
71.6408654719	2330.02978516	0.847471274932	0	1.0	1.0	nan	1	1	0
71.6435407871	2191.6262207	0.797131555685	0	1.0	1.0	nan	1	1	0
71.65033739	2825.43554688	1.02765873655	0	1.0	1.0	nan	1	1	0
71.6749631452	2513.07983398	0.914049676309	0	1.0	1.0	nan	1	1	0
71.6775354212	2250.11669922	0.818405532831	0	1.0	1.0	nan	1	1	0
71.706404862	1991.98181152	0.724517504543	0	1.0	1.0	nan	1	1	0
71.8514907694	2341.4699707	0.851632264071	0	1.0	1.0	nan	1	1	0
71.8588557388	2779.24951172	1.01086009374	0	1.0	1.0	nan	1	1	0
71.8677713763	2754.59448242	1.00189264224	0	1.0	1.0	nan	1	1	0
71.8698787744	2139.91943359	0.778324921935	0	1.0	1.0	nan	1	1	0
71.8929887425	2435.10424805	0.885688635755	0	1.0	1.0	nan	1	1	0
71.8972192611	2440.44091797	0.887629672943	0	1.0	1.0	nan	1	1	0
